,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13,530.156,98.34186,478.23788,289.75778,622.96277,498.66782,779.6232,509.72006,626.8496,676.38513,616.6122,940.40814,-4.116333,0.015563965,-2.112671,-4.2980957,-5.666443,-2.7766724,-1.7164307,-5.767212,-2.8416748,-7.687439
14,-0.22216797,3.616455,562.8246,92.72067,464.93512,239.6178,348.75983,270.06793,464.31915,383.3783,475.08646,592.2906,697.5058,719.13446,550.8212,956.905,711.4012,1001.5017,9.246643,0.9768982,-0.21917725,-4.290161
15,-0.16638184,1.1145935,488.61008,88.733734,592.3227,230.46921,710.833,273.13385,595.5474,372.32074,599.5194,587.63794,361.86035,704.12646,519.9203,941.72406,353.90424,974.74756,-3.904541,-5.911804,-4.1048584,-8.173584
16,-1.4523926,0.4335327,6.1717224,4.0918274,9.435455,7.133148,8.537537,2.1298523,534.1438,82.56894,542.00726,360.70734,265.873,480.6857,432.23395,797.6406,239.92197,886.44836,13.17569,3.3778076,8.596008,14.926117
17,481.74374,126.28534,535.4197,308.87878,408.00317,508.96783,266.00232,515.30084,409.22552,672.2548,416.37558,913.60046,16.711517,8.380463,-0.2133789,-1.2485352,3.736023,0.8911743,3.497467,3.5257263,3.5905151,1.5340881
18,-4.0984497,0.34729004,16.864014,-0.29125977,22.459045,-0.015319824,20.524445,-2.484375,589.09607,96.65057,600.35846,376.90387,293.02637,520.2515,486.84204,821.9485,289.54904,906.1577,189.5195,973.687,47.39621,36.235016
19,510.83636,104.561615,463.82288,280.07394,585.0673,470.7896,734.13135,494.51624,590.55524,635.22925,592.0285,881.933,304.79474,1002.68335,-11.926941,-18.808533,-10.887573,-19.762878,-1.4760742,-9.802063,-9.378906,-15.305725
20,-0.63427734,-0.4779663,2.718048,-2.3547363,6.835907,-0.8154907,179.94696,6.475464,324.26245,89.08975,378.84576,338.6646,665.2203,457.5229,474.6438,786.88074,683.8756,864.21967,803.7542,928.4829,-2.7111816,20.349152
21,453.26685,114.2522,513.74146,289.80536,369.6847,482.68484,230.84424,500.83527,374.3421,647.6595,382.97906,890.02905,9.98465,14.621338,0.6753235,-5.7335205,-1.1794434,-3.067749,2.0656128,4.751129,6.7825623,2.1047974
22,-2.7631836,-1.0471802,1.5201111,3.7716064,1.6445312,3.244995,-1.4376831,-1.0216064,6.212158,-1.0966797,598.8184,177.25122,144.21063,327.9225,434.9558,772.68115,136.93716,895.15356,6.439148,1.9894714,26.285492,8.237457
23,0.6864624,1.056488,534.7187,83.99396,432.7422,221.8028,306.68152,243.26782,439.7907,363.79187,453.20148,564.67084,680.11646,679.2514,525.77496,905.29126,676.17834,950.5689,4.9817505,9.271149,-1.7837524,-3.3045654
