,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13,43.96277,12.779633,351.32306,65.97162,403.31488,152.5527,461.38147,164.19022,466.29712,237.80652,542.2659,434.2357,362.13696,469.54602,490.4377,648.39825,387.95288,716.2123,9.606171,35.40146,551.5848,834.84204
14,33.91977,10.50058,67.15167,25.887787,65.081696,45.645233,57.60727,51.663208,42.21411,40.151367,207.99057,104.79141,200.97919,199.44861,465.91376,384.913,344.45074,502.3725,46.818665,70.47336,542.9491,612.3809
15,32.356293,10.460297,259.17902,51.961853,264.65204,121.603546,249.29132,127.92392,225.46545,98.970856,194.04465,169.82706,405.6749,321.7931,483.46698,508.49402,557.457,626.3887,14.861267,-36.87024,518.4797,807.2024
16,49.54602,2.8278809,103.043274,35.118347,107.19733,70.03027,94.95169,67.28717,139.69138,100.118866,287.0422,206.00461,434.5648,222.71918,535.7835,453.39505,758.00745,553.81433,45.992004,-56.63202,351.6145,681.97705
17,76.03363,33.469727,284.99768,81.51578,355.9706,195.37216,383.89435,185.16599,224.02072,167.5018,99.73605,163.62192,313.95477,225.86627,287.43365,219.52762,425.05338,409.99887,74.223755,-39.726685,447.8866,750.20184
18,26.374023,1.3834534,404.6339,68.88672,483.20193,168.19278,576.61945,194.30167,467.52158,269.46494,545.6146,463.6222,318.41583,507.68777,514.8867,698.97266,413.04596,786.6375,80.99063,233.5481,563.2927,882.6908
19,2.1591492,-0.43475342,311.60602,50.8797,362.35352,126.145294,416.95422,143.22202,396.891,205.95566,569.34283,378.23297,298.91846,488.7964,514.39264,718.9455,326.60187,790.04504,-7.98584,1.1323242,623.2239,914.61
20,14.297485,5.1731567,480.31784,67.94449,477.83438,179.91388,462.34143,200.76468,471.3711,295.95996,415.29736,460.3418,536.29645,522.84454,538.88116,747.1302,626.3944,814.2578,135.92447,102.50748,482.07922,940.83307
21,84.55505,19.26007,474.24548,89.33478,452.63052,206.2727,410.88025,219.55612,437.359,300.84744,370.8064,445.5528,537.456,506.3346,495.968,647.9276,575.4039,704.0138,34.414307,43.184906,449.16656,846.1959
22,51.307587,14.039246,355.23633,66.68109,420.46024,155.20154,491.38083,169.75598,431.16626,220.4754,562.5082,432.1239,329.0379,474.1056,494.7527,674.9955,358.13953,750.2179,25.694672,105.175476,598.5648,893.6028
23,33.518463,4.844574,56.972443,39.44159,51.94754,64.0972,39.33615,60.758087,70.43948,43.336426,459.38843,189.88214,194.47818,265.9772,405.23795,435.36926,260.80017,531.34393,4.556549,1.4532776,530.3559,670.18756
24,60.41989,8.135834,469.10928,80.40692,411.38855,187.91461,347.7082,213.94092,449.02356,303.29895,475.79684,476.02646,591.05176,550.2806,496.8337,710.4728,578.6172,739.41583,30.73581,45.24771,419.20047,802.3627
25,34.81189,7.4807434,455.77014,74.85959,497.29102,182.80627,544.47394,208.03412,508.62265,291.17435,541.4366,479.37866,422.6888,548.5266,501.6546,729.9907,402.26825,782.0157,28.77771,94.04022,561.45087,895.07324
26,150.10849,20.82898,283.66153,84.42676,268.4452,168.43796,243.64307,169.76239,260.61588,209.95248,426.09952,349.60663,609.12,464.5087,468.59854,505.12177,601.92676,558.30615,89.8208,126.283325,342.0614,597.59045
27,86.55936,19.717346,485.97882,86.4841,437.83984,200.19238,370.17325,213.00226,436.4422,306.55414,407.66135,484.35712,614.01385,532.79626,502.4876,668.1975,623.2829,728.3808,105.54349,93.77197,426.00284,839.3535
28,48.325653,4.636383,458.617,85.08447,537.85583,202.56439,624.6894,233.20938,530.7205,313.90613,551.1699,480.9617,393.5208,580.96436,478.36417,726.9502,352.71725,776.8754,113.491974,323.5639,553.1057,856.4972
